"","longL93fic","latL93fich"
"262",996132.18,6357030.32
"263",996157.35,6357673.12
"264",996310.04,6357944.55
"265",996223.13,6357926.45
"266",996027.6,6358030.36
"267",996099.49,6358214.92
"268",996147.42,6358190.14
"269",995914.06,6358410.39
"270",996331,6356719.36
"271",996580.99,6356835.23
"272",996704.96,6356785.02
"273",997026.33,6356821.19
"274",996672.75,6356735.46
"275",996538.6,6356681.09
"276",996744.92,6356425.55
"277",965879.75,6314257.95
"278",969760.06,6299865.28
"279",975951.05,6308523.99
"280",975543.99,6309185.01
"281",973782.45,6304421.93
"282",974115.33,6304808.68
"283",974170,6304819.05
"284",974226.68,6304883.56
"285",991612.23,6308104.09
"286",992159.35,6307810.89
"287",984844.68,6307936.89
"288",982847.69,6308353.12
"289",983704.36,6321124.83
"290",968047.56,6303744.84
"291",966268.59,6303274.61
"292",966112.61,6303552.35
"293",966289.29,6303836.03
"294",966528.94,6304260.5
"295",981185.07,6311534.7
"296",975237.38,6312241.83
"297",975177.3,6312274.26
"298",975601.5,6312147.53
"299",976497.08,6312159.48
"300",976509.78,6312665.55
"301",976864.55,6313183.54
"302",966689.8,6309284.18
"303",971533.25,6306935.02
"304",981824.94,6319788.66
"305",981716.89,6319273.33
"306",982303.06,6318347.44
"307",979369.54,6330163.14
"308",979900.34,6330052.47
"309",980281.78,6329481.8
"310",961344.75,6317231.25
"311",962179.83,6316603.14
"312",984446.12,6322183.16
"313",973442.68,6312335.38
"314",972187.55,6313343.44
"315",973519.46,6314450.79
"316",970441.12,6313826.26
"317",964627.41,6304191.98
"318",962712.41,6305482.79
"319",962556.64,6305357.24
"320",961609.35,6311377.83
"321",1006218.42,6369922.29
"322",1006824.37,6368807.71
"323",1007110.3,6368145
"324",1007537.2,6368288
"325",1007561.03,6368476.35
"326",1007742.54,6368510.26
"327",1007675.34,6368577.04
"328",1006616.58,6369135.91
"329",1006587.5,6369069.43
"330",1006645.67,6369187.38
"331",1006654.51,6368476.1
"332",1006810.45,6368975.2
"333",1007002.16,6368976.55
"334",1006609.74,6368377.83
"335",1005855.26,6368707.43
"336",1006476.48,6369166.11
"337",1006490.63,6368846.49
"338",1007165.57,6368954.51
"339",1006851.18,6369185.4
"340",1006568.32,6369595.01
"341",1006982.67,6368257.89
"342",1007003.08,6368295.92
"343",1007228.86,6368129.78
"344",1007900.02,6368462.91
"345",1007886.67,6368486.28
"346",1007808.11,6368579.53
"347",1007885.2,6369014.74
"348",1007364.17,6369123.38
"349",1007570.74,6368689.04
"350",1007407.02,6368540.89
"351",1007143.05,6368827.28
"352",1007168.56,6368834.53
"353",1007201.63,6369010.32
"354",1007218.4,6369093.22
"355",1007074.75,6369284.4
"356",1007120.61,6369139.5
"357",1007115.02,6369092.18
"358",1007104.25,6369165.72
"359",1007086.99,6369180.9
"360",1006914.35,6369362.65
"361",1006837.51,6369435.98
"362",1006791.36,6368704
"363",1005362.88,6368847.66
"364",1005340.99,6368869.61
"365",1005473.27,6369000.16
"366",1005555.75,6369150.32
"367",1005310.14,6369430.67
"368",1005051.55,6369727.41
"369",1005252.7,6369652.09
"370",1004970.03,6369838.57
"371",1004920.73,6369981.32
"372",1004870.77,6369560.49
"373",1004816.27,6369336.63
"374",1005118.46,6368940.89
"375",1005028.75,6369546.13
"376",1004945.39,6369488.03
"377",1004836.86,6368764.07
"378",1004793.21,6368879.06
"379",1004791.94,6368935.06
"380",1004764.67,6369141.94
"381",1005295.07,6368158.69
"382",1005311.52,6368071.4
"383",1005446.74,6368319.21
"384",1005297.68,6368252.91
"385",1005228.38,6367949.25
"386",1005219.54,6368012.88
"387",1005187.05,6368016.31
"388",1005206.29,6368108.33
"389",1005121.85,6368323.45
"390",1004917.9,6368233.47
"391",1004634.07,6368517
"392",1004442.58,6368451.67
"393",1004597.29,6368267.98
"394",1004539.38,6368203.11
"395",1005029.65,6368106.76
"396",1004895.74,6368364.53
"397",1004842.27,6368385.96
"398",1004836.63,6368531.83
"399",1004859.42,6368669.07
"400",1004519.61,6368818.76
"401",1005306.83,6367679.79
"402",1005259.84,6367715.54
"403",1005274.14,6367702.22
"404",1005046.32,6367615.09
"405",1005147.5,6367795.17
"406",1006874.95,6369595.96
"407",1006896.75,6369576.01
"408",1007060.12,6369716.12
"409",1007196.14,6369739.78
"410",1007165.23,6369828.36
"411",1007060.79,6369996.43
"412",1007129.01,6370069.83
"413",1006979.44,6370323.78
"414",1006915.43,6370472.8
"415",1006725.9,6370442.53
"416",1006708.31,6370449.68
"417",1006801.8,6369755.55
"418",1006797.34,6369773.35
"419",1006568.67,6369735.17
"420",1006539.29,6369792.79
"421",1006500.44,6369956.06
"422",1006433.46,6370077.92
"423",1006430.57,6370505.2
"424",1006459.56,6370411.52
"425",1003620.05,6367010.53
"426",1005007.59,6367732.33
"427",1004661.86,6368076.92
"428",1004673.84,6367948.37
"429",1004598.54,6367945.72
"430",1004093.85,6368117.48
"431",1003943.61,6368817.9
"432",1004056.14,6368674.2
"433",1004066.3,6368434.46
"434",1003847.05,6366877.35
"435",1003802.66,6366874.21
"436",1003943.56,6366917.05
"437",1003968.4,6366938.27
"438",1004031.79,6366994.39
"439",1004125.44,6366914.84
"440",1004214.27,6366846.06
"441",1004424.79,6366905.3
"442",1004345,6366965.5
"443",1004218.24,6366927.33
"444",1004215.05,6366904.16
"445",1004074.36,6367198.64
"446",1004016.53,6367309.96
"447",1003981,6367361.29
"448",1003858.66,6367380.4
"449",1003885.61,6367476.8
"450",1003698.08,6367655.92
"451",1003587.07,6367247.17
"452",1003515.15,6367129.58
"453",1004938.34,6367678.92
"454",1004916.59,6367549.74
"455",1004904.12,6367540.13
"456",1004866.63,6367587.36
"457",1004695.34,6367638.11
"458",1004769.09,6367613.66
"459",1004701.56,6367554.33
"460",1004605.78,6367514.65
"461",1004651.54,6367533.89
"462",1003876.27,6367224.1
"463",1003947.36,6367254.56
"464",1004471.7,6367182.84
"465",1004473.5,6367204.95
"466",1004601.93,6367000.96
"467",1004585.58,6367012.18
"468",1004683.5,6367245.15
